,IdR,NombreR,ApellidoR,FechaNacR,EdadR,GeneroR,TelefonoR
981,R00000982,Luis,González,1995-01-11,27,Masculino,0986954238
982,R00000983,Nelson,Mercado,1978-06-29,44,Masculino,0980726731
983,R00000984,Mery,Restrepo,1974-09-03,48,Femenino,0981224992
984,R00000985,Marina,Peña,1978-08-25,44,Femenino,0983347286
985,R00000986,Augusto,Angulo,1977-06-29,45,Masculino,0982521332
986,R00000987,Manuel,Villa,1985-09-08,37,Masculino,0986262676
987,R00000988,Catherine,Álvarez,1988-05-24,34,Femenino,0983239636
988,R00000989,Julia,Barrios,1973-09-24,49,Femenino,0980439372
989,R00000990,Henry,Rodríguez,1975-03-31,47,Masculino,0982193911
990,R00000991,Óscar,Sepúlveda,1987-07-30,35,Masculino,0981923863
991,R00000992,Lidia,Ariza,1984-03-12,38,Femenino,0987207716
992,R00000993,Irma,Torres,1988-03-31,34,Femenino,0980203042
993,R00000994,Lucía,García,1980-06-12,42,Femenino,0980757117
994,R00000995,Alberto,Ángel,1988-04-19,34,Masculino,0980669639
995,R00000996,Milena,Bravo,1984-06-30,38,Femenino,0982368958
996,R00000997,Yamid,Guzmán,1983-04-05,39,Masculino,0987987778
997,R00000998,Wilson,López,1977-07-21,45,Masculino,0983665027
998,R00000999,Alexander,Herrera,1986-02-11,36,Masculino,0989207911
999,R00001000,César,Guzmán,1981-10-02,41,Masculino,0985319625
1000,R00001001,Germán,Bohórquez,1975-11-26,47,Masculino,0981381027
1001,R00001002,Cindy,Rodríguez,1976-11-01,46,Femenino,0988625883
1002,R00001003,Rubén,Arango,1989-12-17,32,Masculino,0986647582
1003,R00001004,Harold,Osorio,1995-10-27,27,Masculino,0989209051
1004,R00001005,Mauricio,Rodríguez,1992-04-06,30,Masculino,0982397912
1005,R00001006,Emilio,Cantillo,1993-04-13,29,Masculino,0988751842
1006,R00001007,Martha,Castro,1974-05-24,48,Femenino,0983207321
1007,R00001008,Rigoberto,Roa,1984-12-19,37,Masculino,0987696251
1008,R00001009,Gerardo,Acosta,1997-03-14,25,Masculino,0989225287
1009,R00001010,Elvia,Carrillo,1981-02-02,41,Femenino,0983712824
1010,R00001011,Giovanny,Angulo,1981-03-07,41,Masculino,0987726718
1011,R00001012,Diego,Córdoba,1988-10-22,34,Masculino,0988243561
1012,R00001013,María,Martínez,1983-09-08,39,Femenino,0981663071
1013,R00001014,Yeny,Gallego,1975-06-03,47,Femenino,0980684310
1014,R00001015,Jorge,Gamboa,1993-11-28,29,Masculino,0981117835
1015,R00001016,José,Parada,1991-12-25,30,Masculino,0985149036
1016,R00001017,Damián,Barrios,1985-07-07,37,Masculino,0983126348
1017,R00001018,Mario,Martínez,1990-05-04,32,Masculino,0989184467
1018,R00001019,Antonio,Martínez,1977-03-29,45,Masculino,0984421598
1019,R00001020,Esther,Lozano,1973-10-29,49,Femenino,0980712421
1020,R00001021,Ruth,Méndez,1990-10-09,32,Femenino,0985443635
1021,R00001022,Olga,Gómez,1995-10-10,27,Femenino,0987198337
1022,R00001023,Juliana,Restrepo,1996-05-02,26,Femenino,0989994997
1023,R00001024,Sandra,Montes,1976-05-14,46,Femenino,0980277321
1024,R00001025,Alejandro,Campo,1975-06-09,47,Masculino,0983108298
1025,R00001026,Yohana,Oviedo,1988-12-06,33,Femenino,0980388546
1026,R00001027,Camilo,Díaz,1985-06-27,37,Masculino,0984113185
1027,R00001028,Maritza,Cruz,1978-11-22,44,Femenino,0989446237
1028,R00001029,Nancy,Peña,1974-07-07,48,Femenino,0987536734
1029,R00001030,Fernando,Orozco,1992-02-20,30,Masculino,0984432277
1030,R00001031,Sebastián,Rivas,1981-02-10,41,Masculino,0980841952
1031,R00001032,Rosa,Saavedra,1987-02-10,35,Femenino,0988653482
1032,R00001033,Mario,Sánchez,1992-09-05,30,Masculino,0985245220
1033,R00001034,Carlos,Burgos,1986-05-14,36,Masculino,0980525985
1034,R00001035,Daniel,Montoya,1994-09-21,28,Masculino,0989689690
1035,R00001036,Danilo,Rivera,1992-01-12,30,Masculino,0982393155
1036,R00001037,Edison,Flórez,1980-10-16,42,Masculino,0988914538
1037,R00001038,Eugenia,Ospina,1996-08-16,26,Femenino,0988424364
1038,R00001039,Ángela,Meza,1977-08-27,45,Femenino,0983647085
1039,R00001040,Manuel,Molina,1975-08-21,47,Masculino,0980362332
1040,R00001041,María,Pérez,1983-01-26,39,Femenino,0980592698
1041,R00001042,Ariel,Franco,1978-12-19,43,Masculino,0987394278
1042,R00001043,Antonio,Quiroz,1979-12-22,42,Masculino,0988637794
1043,R00001044,Alejandro,Guerra,1973-11-20,49,Masculino,0989532119
1044,R00001045,Andrés,Rodríguez,1977-11-30,45,Masculino,0981355923
1045,R00001046,Henry,Ortiz,1988-02-11,34,Masculino,0986759719
1046,R00001047,William,Gómez,1992-10-27,30,Masculino,0988592976
1047,R00001048,Emilio,Martínez,1984-09-29,38,Masculino,0984669469
1048,R00001049,Isidro,Vera,1992-08-03,30,Masculino,0986936054
1049,R00001050,Kelly,Giraldo,1987-10-02,35,Femenino,0985927386
1050,R00001051,César,Rodríguez,1976-08-22,46,Masculino,0988703424
1051,R00001052,Ángel,Vergara,1977-09-18,45,Masculino,0982774533
1052,R00001053,Juan,Rueda,1978-09-13,44,Masculino,0980485215
1053,R00001054,Julián,Jaimes,1996-11-26,26,Masculino,0986105473
1054,R00001055,Augusto,Pérez,1977-01-16,45,Masculino,0986864658
1055,R00001056,Lilia,González,1974-12-03,48,Femenino,0986379866
1056,R00001057,Patricia,Parada,1984-06-17,38,Femenino,0988597441
1057,R00001058,Luis,Parra,1995-01-26,27,Masculino,0985182258
1058,R00001059,Lorena,Bastidas,1979-07-01,43,Femenino,0985774277
1059,R00001060,William,Durán,1976-10-29,46,Masculino,0984502980
1060,R00001061,Camilo,Ávila,1978-01-18,44,Masculino,0989139293
1061,R00001062,Jaime,Ortiz,1973-06-01,49,Masculino,0982905567
1062,R00001063,Andrea,Alfonso,1989-12-01,33,Femenino,0982714090
1063,R00001064,Anderson,Mantilla,1978-06-09,44,Masculino,0980204582
1064,R00001065,Daniel,López,1995-01-07,27,Masculino,0983316016
1065,R00001066,Aura,Amaya,1984-08-13,38,Femenino,0981836114
1066,R00001067,José,Rincón,1981-06-29,41,Masculino,0983994098
1067,R00001068,Carlos,Corredor,1997-11-04,25,Masculino,0985757028
1068,R00001069,Rosario,Escobar,1981-10-08,41,Femenino,0983854149
1069,R00001070,William,Muñoz,1993-05-15,29,Masculino,0983473677
1070,R00001071,Cristina,Gil,1997-08-02,25,Femenino,0982502192
1071,R00001072,Álvaro,Restrepo,1977-10-01,45,Masculino,0988846865
1072,R00001073,Edith,Estrada,1986-05-27,36,Femenino,0989531272
1073,R00001074,José,Morales,1987-07-13,35,Masculino,0983583536
1074,R00001075,Rosario,Gómez,1976-07-23,46,Femenino,0985983593
1075,R00001076,Francisco,Hernández,1994-08-21,28,Masculino,0988722367
1076,R00001077,José,Rojas,1974-03-07,48,Masculino,0982217881
1077,R00001078,María,Buitrago,1984-03-02,38,Femenino,0986203552
1078,R00001079,Eugenia,Giraldo,1989-03-30,33,Femenino,0982997946
1079,R00001080,Gabriel,Bermúdez,1988-02-28,34,Masculino,0981292359
1080,R00001081,Paola,Reyes,1993-03-26,29,Femenino,0981429091
1081,R00001082,Cristian,Reyes,1980-12-13,41,Masculino,0989612376
1082,R00001083,Gilberto,Martínez,1982-03-23,40,Masculino,0987619552
1083,R00001084,Rocío,Duque,1988-01-14,34,Femenino,0982538076
1084,R00001085,Isabel,Erazo,1988-01-29,34,Femenino,0988711572
1085,R00001086,Alonso,Guzmán,1975-03-25,47,Masculino,0983747736
1086,R00001087,Miguel,Solano,1985-06-19,37,Masculino,0980462116
1087,R00001088,Judith,Martínez,1984-10-31,38,Femenino,0983864077
1088,R00001089,Teresa,Ramírez,1983-01-24,39,Femenino,0986158533
1089,R00001090,Rubiela,Martínez,1974-02-16,48,Femenino,0981146139
1090,R00001091,Luz,Torres,1993-11-13,29,Femenino,0982173462
1091,R00001092,Harold,Bravo,1983-09-26,39,Masculino,0984899583
1092,R00001093,Rodrigo,Hernández,1986-10-13,36,Masculino,0980925170
1093,R00001094,Fabio,Obando,1982-12-19,39,Masculino,0985207449
1094,R00001095,José,Rojas,1982-06-30,40,Masculino,0981985013
1095,R00001096,José,Restrepo,1991-03-31,31,Masculino,0981239996
1096,R00001097,Alberto,Naranjo,1992-11-29,30,Masculino,0989359762
1097,R00001098,Nelson,Ávila,1982-02-18,40,Masculino,0984735011
1098,R00001099,Jesús,Mesa,1992-02-08,30,Masculino,0987808461
1099,R00001100,Sergio,Sierra,1984-03-31,38,Masculino,0988397577
1100,R00001101,Brayan,Calderón,1987-04-25,35,Masculino,0984952312
1101,R00001102,Felix,Ospino,1982-07-30,40,Masculino,0986167742
1102,R00001103,Sonia,García,1992-12-07,29,Femenino,0980436189
1103,R00001104,Isabel,Castro,1997-10-11,25,Femenino,0980828947
1104,R00001105,Marcela,Gutiérrez,1995-04-24,27,Femenino,0981132235
1105,R00001106,Adriana,Gaviria,1986-05-16,36,Femenino,0986243689
1106,R00001107,María,González,1989-12-09,32,Femenino,0989472071
1107,R00001108,Javier,Moreno,1983-01-22,39,Masculino,0985709680
1108,R00001109,Johanna,Barreto,1975-10-17,47,Femenino,0986926520
1109,R00001110,Gloria,Daza,1996-08-23,26,Femenino,0984402778
1110,R00001111,Carolina,Martínez,1973-01-29,49,Femenino,0981296835
1111,R00001112,Luis,Martínez,1996-11-22,26,Masculino,0985199379
1112,R00001113,Esteban,Gutiérrez,1994-02-14,28,Masculino,0980964586
1113,R00001114,Óscar,Chávez,1976-11-25,46,Masculino,0981643464
1114,R00001115,Manuel,Hernández,1985-01-30,37,Masculino,0989949266
1115,R00001116,Manuel,Montoya,1995-07-13,27,Masculino,0983328528
1116,R00001117,Alberto,Roa,1986-09-12,36,Masculino,0980155742
1117,R00001118,Dario,Orozco,1984-08-07,38,Masculino,0988644984
1118,R00001119,María,Vergara,1988-09-10,34,Femenino,0980109352
1119,R00001120,Giovanni,Osorio,1989-08-17,33,Masculino,0983788988
1120,R00001121,Daniela,Salamanca,1995-01-19,27,Femenino,0989684251
1121,R00001122,Jaime,Cardona,1991-08-25,31,Masculino,0988906255
1122,R00001123,Manuel,Muñoz,1973-12-15,48,Masculino,0980755519
1123,R00001124,Antonio,Narváez,1976-08-26,46,Masculino,0984657123
1124,R00001125,Flor,Vásquez,1979-06-24,43,Femenino,0986802768
1125,R00001126,Paola,Gómez,1978-02-08,44,Femenino,0986869118
1126,R00001127,Alexander,Triana,1996-04-24,26,Masculino,0986733029
1127,R00001128,Héctor,Cárdenas,1987-09-14,35,Masculino,0981496361
1128,R00001129,Jacqueline,Martínez,1980-08-16,42,Femenino,0986727989
1129,R00001130,Julieth,Castañeda,1997-02-12,25,Femenino,0989839467
1130,R00001131,Isabel,Cárdenas,1991-09-01,31,Femenino,0982608986
1131,R00001132,Mauricio,Hernández,1982-10-02,40,Masculino,0989924926
1132,R00001133,Angélica,Vergara,1990-11-22,32,Femenino,0984231551
1133,R00001134,Leidy,Martínez,1981-06-25,41,Femenino,0980539333
1134,R00001135,Ana,Córdoba,1983-01-30,39,Femenino,0984399888
1135,R00001136,Carmen,Amaya,1973-10-17,49,Femenino,0983284860
1136,R00001137,Fanny,Muñoz,1973-06-24,49,Femenino,0985932872
1137,R00001138,María,Castro,1984-12-02,38,Femenino,0983956954
1138,R00001139,José,Martínez,1993-11-11,29,Masculino,0989303315
1139,R00001140,Isaac,Rojas,1973-08-31,49,Masculino,0983684578
1140,R00001141,Alcira,García,1978-08-05,44,Femenino,0981772872
1141,R00001142,Fredy,Gutiérrez,1989-03-04,33,Masculino,0987359678
1142,R00001143,Lucía,Guerrero,1981-04-17,41,Femenino,0983394087
1143,R00001144,Leidy,Gutiérrez,1980-01-09,42,Femenino,0982375975
1144,R00001145,Jairo,González,1984-10-23,38,Masculino,0985525089
1145,R00001146,Hernando,Álvarez,1983-05-04,39,Masculino,0986328712
1146,R00001147,Martha,Ríos,1992-11-23,30,Femenino,0985713835
1147,R00001148,Jairo,Palacios,1990-05-17,32,Masculino,0984639895
1148,R00001149,Laura,Rojas,1997-07-01,25,Femenino,0981502533
1149,R00001150,Andrés,Jaimes,1979-08-12,43,Masculino,0980473345
1150,R00001151,Alejandro,Morales,1985-03-09,37,Masculino,0987338590
1151,R00001152,Stiven,Ramírez,1985-01-13,37,Masculino,0981446234
1152,R00001153,Alexis,López,1995-05-11,27,Masculino,0987275111
1153,R00001154,Mónica,García,1974-03-06,48,Femenino,0987641498
1154,R00001155,Claudia,Betancur,1984-05-09,38,Femenino,0986903521
1155,R00001156,Diana,Gómez,1990-09-19,32,Femenino,0982469274
1156,R00001157,Judith,Rodríguez,1977-11-04,45,Femenino,0985912714
1157,R00001158,Adriana,Gutiérrez,1983-04-14,39,Femenino,0985253765
1158,R00001159,Michael,Jaramillo,1995-08-21,27,Masculino,0982447396
1159,R00001160,María,Arboleda,1993-06-16,29,Femenino,0981874914
1160,R00001161,Andrés,Muñoz,1993-10-19,29,Masculino,0987127842
1161,R00001162,César,Molina,1997-08-15,25,Masculino,0982685131
1162,R00001163,Miguel,Marín,1997-10-13,25,Masculino,0986683695
1163,R00001164,Patricia,Jaramillo,1995-06-19,27,Femenino,0983867794
1164,R00001165,Javier,Castañeda,1976-07-13,46,Masculino,0981403749
1165,R00001166,Yolanda,Rincón,1975-04-11,47,Femenino,0983758625
1166,R00001167,Hernando,Pérez,1990-02-19,32,Masculino,0981113927
1167,R00001168,Carlos,Díaz,1983-04-15,39,Masculino,0982461576
1168,R00001169,Humberto,Herrera,1975-10-08,47,Masculino,0980544171
1169,R00001170,Cecilia,Espitia,1996-12-26,25,Femenino,0988918422
1170,R00001171,Yair,Arias,1976-04-26,46,Masculino,0980324652
1171,R00001172,José,Peña,1995-10-06,27,Masculino,0981314730
1172,R00001173,Luis,Pérez,1981-10-04,41,Masculino,0980562598
1173,R00001174,Néstor,Barrera,1992-05-03,30,Masculino,0987279894
1174,R00001175,Julio,Martínez,1989-01-02,33,Masculino,0981323251
1175,R00001176,Maritza,Vargas,1995-10-27,27,Femenino,0989236024
1176,R00001177,María,González,1987-10-18,35,Femenino,0989554333
1177,R00001178,Enrique,Muñoz,1977-09-06,45,Masculino,0983636769
1178,R00001179,Adolfo,Martínez,1984-09-25,38,Masculino,0989701343
1179,R00001180,María,Restrepo,1992-05-08,30,Femenino,0985576558
1180,R00001181,Rubén,Valencia,1988-01-20,34,Masculino,0982328699
1181,R00001182,Miryam,Gaitán,1981-02-24,41,Femenino,0982567637
1182,R00001183,Margarita,Padilla,1982-12-06,39,Femenino,0984143965
1183,R00001184,Rodrigo,Romero,1989-05-19,33,Masculino,0981838723
1184,R00001185,Marcela,Arrieta,1991-10-18,31,Femenino,0988283863
1185,R00001186,Alexandra,Perdomo,1974-11-05,48,Femenino,0983143475
1186,R00001187,Marcela,Betancur,1996-11-02,26,Femenino,0983259761
1187,R00001188,Nancy,Moreno,1975-09-25,47,Femenino,0989585953
1188,R00001189,Andrés,Toro,1995-06-11,27,Masculino,0985316752
1189,R00001190,Augusto,García,1983-07-26,39,Masculino,0980706332
1190,R00001191,Ariel,Rodríguez,1993-06-06,29,Masculino,0984237290
1191,R00001192,Teresa,Moreno,1979-10-15,43,Femenino,0984699352
1192,R00001193,David,Rodríguez,1997-12-09,24,Masculino,0984405070
1193,R00001194,Julián,Rodríguez,1988-02-06,34,Masculino,0981914526
1194,R00001195,Luis,Morales,1997-02-25,25,Masculino,0982441350
1195,R00001196,Dany,Flórez,1988-08-12,34,Masculino,0985668384
1196,R00001197,Álvaro,Molina,1973-08-10,49,Masculino,0988503086
1197,R00001198,Esperanza,Ramos,1991-06-18,31,Femenino,0988402371
1198,R00001199,Consuelo,León,1979-12-09,42,Femenino,0982713253
1199,R00001200,Ignacio,García,1985-01-20,37,Masculino,0987204467
1200,R00001201,Enrique,Alvarado,1978-02-22,44,Masculino,0981836546
1201,R00001202,John,Camargo,1997-10-26,25,Masculino,0986287176
1202,R00001203,Magnolia,Tovar,1976-01-18,46,Femenino,0982356819
1203,R00001204,Henry,Mendoza,1993-03-22,29,Masculino,0985832039
1204,R00001205,Luis,Vargas,1974-02-10,48,Masculino,0984715292
1205,R00001206,Ingrid,Ángel,1990-03-19,32,Femenino,0987815616
1206,R00001207,Gabriel,Monsalve,1990-08-16,32,Masculino,0984618923
1207,R00001208,Elvira,Narváez,1975-03-30,47,Femenino,0983708255
1208,R00001209,Alba,Bustamante,1984-03-15,38,Femenino,0980317682
1209,R00001210,Juan,García,1988-11-22,34,Masculino,0987207839
1210,R00001211,Faber,Delgado,1992-05-16,30,Masculino,0981961010
1211,R00001212,Rafael,Mesa,1975-02-21,47,Masculino,0984266140
1212,R00001213,Enrique,Quintero,1997-01-29,25,Masculino,0985991641
1213,R00001214,Antonio,Bernal,1976-08-09,46,Masculino,0984548866
1214,R00001215,Álvaro,Rodríguez,1973-12-15,48,Masculino,0980537568
1215,R00001216,Paola,Valencia,1988-05-14,34,Femenino,0986336881
1216,R00001217,Alexandra,Rodríguez,1984-08-24,38,Femenino,0981355780
1217,R00001218,Luz,Cardona,1980-03-30,42,Femenino,0983974062
1218,R00001219,Javier,Romero,1981-02-08,41,Masculino,0983741653
1219,R00001220,Jorge,Beltrán,1997-09-04,25,Masculino,0982159630
1220,R00001221,Patricia,Ramírez,1984-02-19,38,Femenino,0984495716
1221,R00001222,Juan,Patiño,1986-07-07,36,Masculino,0981102230
1222,R00001223,Ana,Benítez,1997-01-02,25,Femenino,0983164943
1223,R00001224,Ana,Ospina,1989-03-29,33,Femenino,0980312887
1224,R00001225,Julián,Rincón,1982-08-09,40,Masculino,0981459357
1225,R00001226,Manuel,Torres,1992-02-12,30,Masculino,0983904843
1226,R00001227,Karol,Aguilar,1986-01-10,36,Femenino,0983375966
1227,R00001228,Lucía,Cárdenas,1975-09-26,47,Femenino,0986939243
1228,R00001229,Camilo,Osorio,1989-08-06,33,Masculino,0984266768
1229,R00001230,Antonio,Mantilla,1989-05-20,33,Masculino,0985137667
1230,R00001231,Judith,Castellanos,1993-10-27,29,Femenino,0989537154
1231,R00001232,Sebastián,Álvarez,1978-05-10,44,Masculino,0987743429
1232,R00001233,Carlos,Leal,1993-09-23,29,Masculino,0985684984
1233,R00001234,Manuel,Arango,1976-11-17,46,Masculino,0982359318
1234,R00001235,Andrea,Solano,1978-08-21,44,Femenino,0987703388
1235,R00001236,Gloria,Arévalo,1987-01-01,35,Femenino,0981933434
1236,R00001237,Felipe,Martínez,1976-08-14,46,Masculino,0987622768
1237,R00001238,Germán,Torres,1976-08-17,46,Masculino,0989331346
1238,R00001239,Juan,Molina,1975-07-03,47,Masculino,0987866429
1239,R00001240,Karen,Moreno,1991-11-06,31,Femenino,0983114039
1240,R00001241,David,Ángel,1974-02-09,48,Masculino,0982515822
1241,R00001242,Claudia,Cardona,1977-05-05,45,Femenino,0980602367
1242,R00001243,Rosa,Rojas,1981-10-09,41,Femenino,0988341478
1243,R00001244,Carmenza,Chacón,1979-04-28,43,Femenino,0988769847
1244,R00001245,Hernán,Meneses,1989-08-06,33,Masculino,0981961589
1245,R00001246,Marcela,Herrera,1991-03-17,31,Femenino,0982716437
1246,R00001247,José,Acevedo,1983-09-14,39,Masculino,0988335430
1247,R00001248,Alberto,Martínez,1989-11-24,33,Masculino,0981685433
1248,R00001249,Jhon,Herrera,1979-07-04,43,Masculino,0980686762
1249,R00001250,Gustavo,Murillo,1982-10-28,40,Masculino,0986817693
1250,R00001251,Juan,Aguirre,1988-01-25,34,Masculino,0986804084
1251,R00001252,Antonio,Vega,1992-06-20,30,Masculino,0982809679
1252,R00001253,Humberto,Ordóñez,1975-11-29,47,Masculino,0982393114
1253,R00001254,Wilson,Rincón,1993-11-16,29,Masculino,0989353863
1254,R00001255,Patricia,Rodríguez,1980-07-26,42,Femenino,0988157059
1255,R00001256,Ernesto,Ramírez,1979-12-26,42,Masculino,0989701964
1256,R00001257,Diego,Vargas,1982-12-19,39,Masculino,0981458474
1257,R00001258,Dario,Mejía,1985-10-18,37,Masculino,0986852515
1258,R00001259,Marlon,Ramos,1994-07-20,28,Masculino,0984279394
1259,R00001260,María,Fuentes,1983-10-14,39,Femenino,0981798814
1260,R00001261,Yesid,Pérez,1989-03-29,33,Masculino,0984321844
1261,R00001262,Jesús,Gamboa,1993-05-03,29,Masculino,0985733222
1262,R00001263,Camila,Villa,1987-04-14,35,Femenino,0985995087
1263,R00001264,Diana,Henao,1977-12-06,44,Femenino,0984336616
1264,R00001265,Pablo,Guerrero,1985-05-24,37,Masculino,0988937071
1265,R00001266,José,Muñoz,1991-01-15,31,Masculino,0988725687
1266,R00001267,Eduardo,Carvajal,1984-09-17,38,Masculino,0981433649
1267,R00001268,David,Mendoza,1985-03-29,37,Masculino,0980762573
1268,R00001269,Carmen,Flórez,1976-07-01,46,Femenino,0986644298
1269,R00001270,Jonathan,Barragán,1977-06-05,45,Masculino,0989156574
1270,R00001271,José,Londoño,1996-04-13,26,Masculino,0982882629
1271,R00001272,Amparo,Parra,1979-12-29,42,Femenino,0980642575
1272,R00001273,Felipe,Ortiz,1993-10-18,29,Masculino,0988642966
1273,R00001274,Luis,Pérez,1973-04-27,49,Masculino,0981377710
1274,R00001275,Gabriela,Torres,1987-11-26,35,Femenino,0980466699
1275,R00001276,Alejandra,Castro,1979-10-19,43,Femenino,0988851979
1276,R00001277,Leonel,Jiménez,1990-01-31,32,Masculino,0982195789
1277,R00001278,José,Sierra,1997-11-11,25,Masculino,0988279298
1278,R00001279,Rafael,Camargo,1978-11-11,44,Masculino,0988195888
1279,R00001280,Luisa,Sánchez,1981-07-22,41,Femenino,0987329860
1280,R00001281,Andrés,Jiménez,1991-07-06,31,Masculino,0986424491
1281,R00001282,Omaira,Núñez,1976-03-04,46,Femenino,0983265129
1282,R00001283,Gloria,Medina,1977-12-10,44,Femenino,0984372220
1283,R00001284,Bernardo,Rodríguez,1974-11-28,48,Masculino,0982596826
1284,R00001285,Marco,Pérez,1995-07-05,27,Masculino,0983501737
1285,R00001286,María,Roa,1992-09-09,30,Femenino,0984935075
1286,R00001287,Ana,Triana,1977-03-25,45,Femenino,0988922815
1287,R00001288,Ligia,Vargas,1996-11-19,26,Femenino,0988641017
1288,R00001289,Miguel,Benavides,1990-04-04,32,Masculino,0982752931
1289,R00001290,Mario,Perea,1984-01-19,38,Masculino,0986305316
1290,R00001291,Gloria,Rojas,1979-03-24,43,Femenino,0988448847
1291,R00001292,Claudia,Fonseca,1974-12-19,47,Femenino,0982392111
1292,R00001293,José,Torres,1984-02-07,38,Masculino,0985915885
1293,R00001294,Fernando,Beltrán,1985-03-20,37,Masculino,0983219236
1294,R00001295,Luis,Acevedo,1987-08-21,35,Masculino,0987807536
1295,R00001296,Adriana,Sanabria,1977-05-23,45,Femenino,0986293633
1296,R00001297,Leydi,Erazo,1991-08-28,31,Femenino,0986737571
1297,R00001298,Jairo,Rincón,1978-06-09,44,Masculino,0986719351
1298,R00001299,María,Carmona,1988-12-10,33,Femenino,0984401367
1299,R00001300,Laura,Hernández,1980-08-23,42,Femenino,0983803176
1300,R00001301,Sebastián,Posada,1992-12-06,29,Masculino,0980104368
1301,R00001302,María,Daza,1984-08-25,38,Femenino,0987328166
1302,R00001303,Luis,Palacio,1978-04-28,44,Masculino,0982307356
1303,R00001304,Andrea,Vanegas,1983-01-07,39,Femenino,0980511257
1304,R00001305,Yeferson,Serna,1987-12-12,34,Masculino,0988631272
1305,R00001306,María,Díaz,1994-10-16,28,Femenino,0981305291
1306,R00001307,Emilce,Mendoza,1992-11-28,30,Femenino,0985368255
1307,R00001308,Teresa,Montoya,1987-12-16,34,Femenino,0983154543
1308,R00001309,Guillermo,Sánchez,1995-07-18,27,Masculino,0981683537
1309,R00001310,Ángel,Hernández,1984-12-12,37,Masculino,0988519315
1310,R00001311,Hernán,Jaimes,1976-05-18,46,Masculino,0989974719
1311,R00001312,Rafael,Ramírez,1980-11-17,42,Masculino,0987294190
1312,R00001313,Helena,Medina,1975-03-12,47,Femenino,0981555252
1313,R00001314,Yeison,Solano,1981-05-31,41,Masculino,0987633870
1314,R00001315,María,Ávila,1985-12-09,36,Femenino,0985905524
1315,R00001316,Christian,Vera,1977-03-26,45,Masculino,0987547049
1316,R00001317,Felipe,Torres,1983-07-26,39,Masculino,0981981498
1317,R00001318,Laura,Barragán,1990-01-02,32,Femenino,0985622369
1318,R00001319,Nancy,Estrada,1986-07-25,36,Femenino,0980275975
1319,R00001320,Alexander,Salcedo,1990-12-30,31,Masculino,0988431688
1320,R00001321,Pedro,Cruz,1989-01-26,33,Masculino,0983977870
1321,R00001322,Ferney,Sánchez,1990-07-30,32,Masculino,0984885662
1322,R00001323,Mauricio,Torres,1979-04-21,43,Masculino,0983692962
1323,R00001324,Martín,Morales,1986-12-30,35,Masculino,0987127873
1324,R00001325,Anderson,Aguilar,1984-06-03,38,Masculino,0987968063
1325,R00001326,Isabel,Martínez,1992-11-19,30,Femenino,0986363017
1326,R00001327,Marco,Zapata,1974-11-19,48,Masculino,0981609464
1327,R00001328,Andrés,Camargo,1984-10-19,38,Masculino,0983917137
1328,R00001329,Luz,Ramírez,1981-11-05,41,Femenino,0986125485
1329,R00001330,Hernando,Vallejo,1996-02-29,26,Masculino,0986453985
1330,R00001331,Alejandro,Salas,1995-02-16,27,Masculino,0981865460
1331,R00001332,Alexander,Díaz,1990-02-04,32,Masculino,0985485095
1332,R00001333,Andrés,Castillo,1987-02-14,35,Masculino,0980781211
1333,R00001334,Antonio,Ojeda,1989-08-05,33,Masculino,0981563410
1334,R00001335,Dario,Riascos,1988-05-23,34,Masculino,0983597973
1335,R00001336,Isabel,Rivas,1976-02-16,46,Femenino,0988789790
1336,R00001337,Felipe,Serrano,1985-05-17,37,Masculino,0987431681
1337,R00001338,Katherine,Herrera,1980-12-25,41,Femenino,0988669190
1338,R00001339,Astrid,Mosquera,1975-11-26,47,Femenino,0988223840
1339,R00001340,Elías,Bonilla,1985-09-22,37,Masculino,0981624872
1340,R00001341,Ana,Flórez,1973-12-23,48,Femenino,0981714736
1341,R00001342,Andrea,López,1991-10-28,31,Femenino,0986786440
1342,R00001343,Carlos,Murillo,1990-04-13,32,Masculino,0986709254
1343,R00001344,Julia,Fuentes,1985-07-28,37,Femenino,0980876821
1344,R00001345,Mercedes,Díaz,1984-09-28,38,Femenino,0989986541
1345,R00001346,María,Méndez,1997-06-25,25,Femenino,0982505238
1346,R00001347,Paola,Zapata,1974-01-05,48,Femenino,0987721930
1347,R00001348,Emma,Cantillo,1996-10-25,26,Femenino,0988893691
1348,R00001349,Antonio,Camargo,1986-02-26,36,Masculino,0986649238
1349,R00001350,Sonia,Herrera,1997-07-17,25,Femenino,0988109327
1350,R00001351,Milena,Cardona,1986-06-29,36,Femenino,0987112229
1351,R00001352,Stella,Rojas,1973-08-07,49,Femenino,0981195911
1352,R00001353,Gustavo,Molano,1981-11-04,41,Masculino,0987879679
1353,R00001354,Cielo,Pérez,1990-04-02,32,Femenino,0988448092
1354,R00001355,Óscar,Villamizar,1997-05-28,25,Masculino,0984939184
1355,R00001356,María,Agudelo,1981-10-04,41,Femenino,0987853989
1356,R00001357,Guillermo,Amaya,1991-03-17,31,Masculino,0981944619
1357,R00001358,Fabián,Ocampo,1992-03-23,30,Masculino,0982353979
1358,R00001359,Ángel,Gil,1996-02-28,26,Masculino,0986745147
1359,R00001360,David,Gómez,1975-05-26,47,Masculino,0984991273
1360,R00001361,Cristian,Ordóñez,1989-03-31,33,Masculino,0987658277
1361,R00001362,Inés,Aguilar,1993-07-02,29,Femenino,0988951042
